Affenpinscher,Affenpinscher
Afghan Hound,Afgano
Airedale Terrier,Terrier de Airedale
Akita,Akita
Alaskan Malamute,Malamute de Alaska
American Eskimo Dog,Perro Esquimal Americano
American Foxhound,Foxhound Americano
American Staffordshire Terrier,Staffordshire Americano
American Water Spaniel,Perro de Agua Americano
Anatolian Shepherd Dog,Pastor de Anatolia
Appenzeller Sennenhund,Perro de Montaña Appenzell
Argentine Dogo,Dogo Argentino
Australian Cattle Dog,Boyero Australiano
Australian Shepherd,Pastor Australiano
Australian Terrier,Terrier Australiano
Azawakh,Azawakh
Basenji,Basenji
Basset Hound,Basset Hound
Beagle,Beagle
Bearded Collie,Collie Barbudo
Beauceron,Pastor de Beauce
Bedlington Terrier,Bedlington Terrier
Belgian Laekenois,Pastor Belga Laekenois
Belgian Malinois,Pastor Belga Malinois
Belgian Sheepdog,Pastor Belga
Belgian Tervuren,Pastor Belga Tervueren
Bernese Mountain Dog,Perro de Montaña Bernés
Bichon Frise,Bichón Frisé
Black and Tan Coonhound,Black and Tan Coonhound
Bloodhound,Bloodhound
Bolognese,Bichón Boloñés
Border Collie,Collie de la Frontera
Border Terrier,Border Terrier
Borzoi,Borzoi (Galgo Ruso)
Boston Terrier,Boston Terrier
Bouvier des Flandres,Boyero de Flandes
Boxer,Bóxer
Briard,Briard
Brittany,Brittany
Brussels Griffon,Grifón de Bruselas
Bull Terrier,Bull Terrier
Bulldog,Bulldog
Bullmastiff,Bullmastín
Cairn Terrier,Cairn Terrier
Canaan Dog,Perro de Canaan
Canadian Eskimo Dog,Perro Esquimal Canadiense
Cardigan Welsh Corgi,Corgi Galés Cárdigan
Cavalier King Charles Spaniel,Cavalier King Charles Spaniel
Cesky Terrier,Terrier Cesky
Chesapeake Bay Retriever,Retriever Bahía de Chesapeake
Chihuahua,Chihuahua
Chinese Crested,Perro Crestado Chino
Chow Chow,Chow Chow
Clumber Spaniel,Clumber Spaniel
Cocker Spaniel,Cocker Spaniel
Collie,Collie
Curly-Coated Retriever,Retriever de Pelo Rizado
Dachshund,Dachshund (perro salchicha)
Dalmatian,Dálmata
Dandie Dinmont Terrier,Dandie Dinmont Terrier
Doberman Pinscher,Doberman
Dogue de Bordeaux,Dogo de Burdeos
English Cocker Spaniel,Cocker Spaniel Inglés
English Foxhound,Foxhound Inglés
English Setter,Setter Inglés
English Springer Spaniel,Springer Spaniel Inglés
Field Spaniel,Field Spaniel
Finnish Spitz,Spitz Finlandés
Flat-Coated Retriever,Cobrado de Pelo Liso
French Bulldog,Bulldog Francés
German Pinscher,Pinscher
German Shepherd Dog,Pastor Alemán
German Shorthaired Pointer,Pointer Alemán de Pelo Corto
German Spitz,Spitz Alemán
German Wirehaired Pointer,Pointer Alemán de Pelo Duro
Giant Schnauzer,Schnauzer Gigante
Glen of Imaal Terrier,Glen of Imaal Terrier
Golden Retriever,Golden Retriever
Gordon Setter,Setter Gordon
Great Dane,Gran Danés
Great Pyrenees,Perro de Montaña Pirineos
Great Swiss Mountain Dog,Perro de Montaña Gran Suizo
Greyhound,Greyhound
Hamilton Stovare,Hamilton Stovare
Harrier,Harrier
Havanese,Bichón Habanero
Ibizan Hound,Podenco Ibicenco
Irish Setter,Setter Irlandés
Irish Terrier,Terrier Irlandés
Irish Water Spaniel,Spaniel de Agua Irlandés
Irish Wolfhound,Wolfhound Irlandés
Italian Greyhound,Galgo Italiano
Italian Spinone,Spinone Italiano
Japanese Chin,Chin Japonés
Japanese Spitz,Spitz Japonés
Keeshond,Keeshond
Kerry Blue Terrier,Kerry Blue Terrier
Komondor,Komondor
Kuvasz,Kuvasz
Labrador Retriever,Labrador Retriever
Lakeland Terrier,Lakeland Terrier
Leonberger,Leonberger
Lhasa Apso,Lhasa Apso
Löwchen,Löwchen
Maltese,Maltés
Mastiff,Mastín
Magyar Agar,Lebrel Húngaro
Miniature Bull Terrier,Bull Terrier Miniatura
Miniature Pinscher,Pinscher Miniatura
Miniature Schnauzer,Schnauzer Miniatura
Neapolitan Mastiff,Mastín Napolitano
Newfoundland,Terranova
Norfolk Terrier,Terrier de Norfolk
Norwegian Buhund,Buhund Noruego
Norwegian Elkhound,Elkhound Noruego
Norwich Terrier,Terrier de Norwich
Nova Scotia Duck Tolling Retriever,Cobrador de Patos Nueva Escocia
Old English Sheepdog,Bobtail
Otter Hound,Otterhound
Papillon,Papillon
Parson Russell Terrier,Parson Russell Terrier
Pekingese,Pequinés
Pembroke Welsh Corgi,Corgi Galés Pembroke
Petit Basset Griffon Vendéen,Petit Basset Griffon Vendeen
Pharaoh Hound,Faraón Hound
Plott Hound,Plott Hound
Pointer,Pointer
Polish Lowland Sheepdog,Pastor Polaco Tierras Bajas
Pomeranian,Pomerano
Poodle,Caniche (o Poodle)
Portuguese Podenco,Podenco Portugués
Portuguese Water Dog,Perro de Aguas Portugués
Pug,Pug
Puli,Puli
Pyrenean Shepherd,Pastor de los Pirineos
Rhodesian Ridgeback,Ridgeback de Rodesia
Rottweiler,Rottweiler
Saluki,Saluki (Galgo Persa)
Samoyed,Samoyedo
Schipperke,Schipperke
Scottish Deerhound,Deerhound Escocés
Scottish Terrier,Terrier Escocés
Sealyham Terrier,Sealyham Terrier
Shar-Pei,Shar Pei
Shetland Sheepdog,Pastor de Shetland
Shiba Inu,Shiba Inu
Shih Tzu,Shih Tzu
Siberian Husky,Husky Siberiano
Sicilian Hound,Cirneco del Etna
Silky Terrier,Silky Terrier
Skye Terrier,Terrier de Skye
Sloughi,Sloughi (Galgo Árabe)
Smooth Fox Terrier,Fox Terrier de Pelo Liso
Soft Coated Wheaten Terrier,Wheaten Terrier Pelo Suave
Spanish Greyhound,Galgo Español
St. Bernard,San Bernardo
Staffordshire Bull Terrier,Staffordshire Bull Terrier
Standard Schnauzer,Schnauzer
Sussex Spaniel,Spaniel de Sussex
Swedish Vallhund,Valhund Sueco
Tibetan Mastiff,Mastín Tibetano
Tibetan Spaniel,Spaniel Tibetano
Tibetan Terrier,Terrier Tibetano
Tosa,Tosa Inu
Toy Fox Terrier,Fox Terrier Toy
Vizsla,Vizsla
Weimaraner,Weimaraner
Welsh Springer Spaniel,Springer Spaniel Galés
Welsh Terrier,Terrier Galés
West Highland White Terrier,West Highland White Terrier
Whippet,Whippet
Wire Fox Terrier,Fox Terrier de Pelo Alambre
Xoloitzcuintle,Xoloitzcuintle
Yorkshire Terrier,Terrier de Yorkshire